gene_id,gene_symbol,gene_name,alternate_names,alternate_symbols,vip_status
PA165618157,MIR3147,microRNA 3147,Unknown,hsa-mir-3147,Yes
PA165585584,MIR3148,microRNA 3148,Unknown,hsa-mir-3148,Yes
PA165585687,MIR3149,microRNA 3149,Unknown,hsa-mir-3149,Yes
PA165585689,MIR3150A,microRNA 3150a,Unknown,"hsa-mir-3150, hsa-mir-3150a",Yes
PA165585690,MIR3151,microRNA 3151,Unknown,hsa-mir-3151,Yes
PA165585855,MIR3152,microRNA 3152,Unknown,hsa-mir-3152,Yes
PA165585857,MIR3153,microRNA 3153,Unknown,hsa-mir-3153,Yes
PA165585858,MIR3154,microRNA 3154,Unknown,hsa-mir-3154,Yes
PA165548829,MIR3155A,microRNA 3155a,Unknown,hsa-mir-3155,Yes
PA165548830,MIR3156-1,microRNA 3156-1,Unknown,hsa-mir-3156-1,Yes
PA165429050,MIR3156-2,microRNA 3156-2,Unknown,hsa-mir-3156-2,Yes
PA165378431,MIR3156-3,microRNA 3156-3,Unknown,hsa-mir-3156-3,Yes
PA165548831,MIR3157,microRNA 3157,Unknown,hsa-mir-3157,Yes
PA165548832,MIR3158-1,microRNA 3158-1,Unknown,hsa-mir-3158-1,Yes
PA165548833,MIR3158-2,microRNA 3158-2,Unknown,hsa-mir-3158-2,Yes
PA165543464,MIR3159,microRNA 3159,Unknown,hsa-mir-3159,Yes
PA165543465,MIR3160-1,microRNA 3160-1,Unknown,hsa-mir-3160-1,Yes
PA165543466,MIR3160-2,microRNA 3160-2,Unknown,hsa-mir-3160-2,Yes
PA165543467,MIR3161,microRNA 3161,Unknown,hsa-mir-3161,Yes
PA165543468,MIR3162,microRNA 3162,Unknown,hsa-mir-3162,Yes
PA165543469,MIR3163,microRNA 3163,Unknown,hsa-mir-3163,Yes
PA165543470,MIR3164,microRNA 3164,Unknown,hsa-mir-3164,Yes
PA165543471,MIR3165,microRNA 3165,Unknown,hsa-mir-3165,Yes
PA165543472,MIR3166,microRNA 3166,Unknown,hsa-mir-3166,Yes
PA165543473,MIR3167,microRNA 3167,Unknown,hsa-mir-3167,Yes
PA165505140,MIR3168,microRNA 3168,Unknown,hsa-mir-3168,Yes
PA165505157,MIR3169,microRNA 3169,Unknown,hsa-mir-3169,Yes
PA165505158,MIR3170,microRNA 3170,Unknown,hsa-mir-3170,Yes
PA165479173,MIR3171,microRNA 3171,Unknown,hsa-mir-3171,Yes
PA165479177,MIR3173,microRNA 3173,Unknown,hsa-mir-3173,Yes
PA165479180,MIR3174,microRNA 3174,Unknown,hsa-mir-3174,Yes
PA165479182,MIR3175,microRNA 3175,Unknown,hsa-mir-3175,Yes
PA165450156,MIR3176,microRNA 3176,Unknown,hsa-mir-3176,Yes
PA165450171,MIR3177,microRNA 3177,Unknown,hsa-mir-3177,Yes
PA165450172,MIR3178,microRNA 3178,Unknown,hsa-mir-3178,Yes
PA165450173,MIR3179-1,microRNA 3179-1,Unknown,hsa-mir-3179-1,Yes
PA165450192,MIR3179-2,microRNA 3179-2,Unknown,hsa-mir-3179-2,Yes
PA165450193,MIR3179-3,microRNA 3179-3,Unknown,hsa-mir-3179-3,Yes
PA165450194,MIR3180-1,microRNA 3180-1,Unknown,hsa-mir-3180-1,Yes
PA165450195,MIR3180-2,microRNA 3180-2,Unknown,hsa-mir-3180-2,Yes
PA165450196,MIR3180-3,microRNA 3180-3,Unknown,hsa-mir-3180-3,Yes
PA165450197,MIR3181,microRNA 3181,Unknown,hsa-mir-3181,Yes
PA165450198,MIR3182,microRNA 3182,Unknown,hsa-mir-3182,Yes
PA165432120,MIR3183,microRNA 3183,Unknown,hsa-mir-3183,Yes
PA165432121,MIR3184,microRNA 3184,Unknown,hsa-mir-3184,Yes
PA165432122,MIR3185,microRNA 3185,Unknown,hsa-mir-3185,Yes
PA165432123,MIR3186,microRNA 3186,Unknown,hsa-mir-3186,Yes
PA165393756,MIR3187,microRNA 3187,Unknown,hsa-mir-3187,Yes
PA165393757,MIR3188,microRNA 3188,Unknown,hsa-mir-3188,Yes
PA165393774,MIR3189,microRNA 3189,Unknown,hsa-mir-3189,Yes
PA165393775,MIR3190,microRNA 3190,Unknown,hsa-mir-3190,Yes
PA165393782,MIR3191,microRNA 3191,Unknown,hsa-mir-3191,Yes
PA165392396,MIR3192,microRNA 3192,Unknown,hsa-mir-3192,Yes
PA165392397,MIR3193,microRNA 3193,Unknown,hsa-mir-3193,Yes
PA165392398,MIR3194,microRNA 3194,Unknown,hsa-mir-3194,Yes
PA165392399,MIR3195,microRNA 3195,Unknown,hsa-mir-3195,Yes
PA165392400,MIR3196,microRNA 3196,Unknown,hsa-mir-3196,Yes
PA165378432,MIR3197,microRNA 3197,Unknown,hsa-mir-3197,Yes
PA165378344,MIR3198-1,microRNA 3198-1,Unknown,hsa-mir-3198-1,Yes
PA165378345,MIR3199-1,microRNA 3199-1,Unknown,hsa-mir-3199-1,Yes
PA165378346,MIR3199-2,microRNA 3199-2,Unknown,hsa-mir-3199-2,Yes
PA164722648,MIR32,microRNA 32,Unknown,hsa-mir-32,Yes
PA165378347,MIR3200,microRNA 3200,Unknown,hsa-mir-3200,Yes
PA165378348,MIR3201,microRNA 3201,Unknown,hsa-mir-3201,Yes
PA165756920,MIR3202-1,microRNA 3202-1,Unknown,hsa-mir-3202-1,Yes
PA165756929,MIR3202-2,microRNA 3202-2,Unknown,hsa-mir-3202-2,Yes
PA164722649,MIR320A,microRNA 320a,Unknown,hsa-mir-320,Yes
PA164722650,MIR320B1,microRNA 320b-1,Unknown,hsa-mir-320b-1,Yes
PA164722651,MIR320B2,microRNA 320b-2,Unknown,hsa-mir-320b-2,Yes
PA164722652,MIR320C1,microRNA 320c-1,Unknown,hsa-mir-320c-1,Yes
PA164722653,MIR320C2,microRNA 320c-2,Unknown,hsa-mir-320c-2,Yes
PA164722654,MIR320D1,microRNA 320d-1,Unknown,hsa-mir-320d-1,Yes
PA164722655,MIR320D2,microRNA 320d-2,Unknown,hsa-mir-320d-2,Yes
PA165393783,MIR320E,microRNA 320e,Unknown,hsa-mir-320e,Yes
PA164722656,MIR323A,microRNA 323a,Unknown,hsa-mir-323,Yes
PA165479179,MIR323B,microRNA 323b,Unknown,"hsa-mir-323b, hsa-mir-453",Yes
PA164722657,MIR324,microRNA 324,Unknown,hsa-mir-324,Yes
PA164722658,MIR325,microRNA 325,Unknown,hsa-mir-325,Yes
PA164722659,MIR326,microRNA 326,Unknown,hsa-mir-326,Yes
PA164722660,MIR328,microRNA 328,Unknown,hsa-mir-328,Yes
PA164722661,MIR329-1,microRNA 329-1,Unknown,hsa-mir-329-1,Yes
PA164722662,MIR329-2,microRNA 329-2,Unknown,hsa-mir-329-2,Yes
PA164722663,MIR330,microRNA 330,Unknown,hsa-mir-330,Yes
PA164722664,MIR331,microRNA 331,Unknown,hsa-mir-331,Yes
PA164722665,MIR335,microRNA 335,Unknown,hsa-mir-335,Yes
PA164722666,MIR337,microRNA 337,Unknown,hsa-mir-337,Yes
PA164722667,MIR338,microRNA 338,Unknown,hsa-mir-338,Yes
PA164722668,MIR339,microRNA 339,Unknown,hsa-mir-339,Yes
PA164722669,MIR33A,microRNA 33a,Unknown,"hsa-mir-33, hsa-mir-33a",Yes
PA164722670,MIR33B,microRNA 33b,Unknown,hsa-mir-33b,Yes
PA164722671,MIR340,microRNA 340,Unknown,hsa-mir-340,Yes
PA164722672,MIR342,microRNA 342,Unknown,hsa-mir-342,Yes
PA164722673,MIR345,microRNA 345,Unknown,hsa-mir-345,Yes
PA164722674,MIR346,microRNA 346,Unknown,hsa-mir-346,Yes
PA164722675,MIR34A,microRNA 34a,Unknown,hsa-mir-34a,Yes
PA164722676,MIR34B,microRNA 34b,Unknown,hsa-mir-34b,Yes
PA164722677,MIR34C,microRNA 34c,Unknown,hsa-mir-34c,Yes
PA164722678,MIR361,microRNA 361,Unknown,hsa-mir-361,Yes
PA164722679,MIR362,microRNA 362,Unknown,hsa-mir-362,Yes
PA164722680,MIR363,microRNA 363,Unknown,"MIR-363, hsa-mir-363",Yes
PA164722681,MIR365A,microRNA 365a,Unknown,hsa-mir-365-1,Yes
PA164722682,MIR365B,microRNA 365b,Unknown,hsa-mir-365-2,Yes
PA164722683,MIR367,microRNA 367,Unknown,hsa-mir-367,Yes
PA164722684,MIR369,microRNA 369,Unknown,hsa-mir-369,Yes
PA164722685,MIR370,microRNA 370,Unknown,hsa-mir-370,Yes
PA164722686,MIR371A,microRNA 371a,Unknown,hsa-mir-371,Yes
PA164722687,MIR372,microRNA 372,Unknown,hsa-mir-372,Yes
PA164722688,MIR373,microRNA 373,Unknown,hsa-mir-373,Yes
PA164722689,MIR374A,microRNA 374a,Unknown,"hsa-mir-374, hsa-mir-374a",Yes
PA164722690,MIR374B,microRNA 374b,Unknown,hsa-mir-374b,Yes
PA164722691,MIR375,microRNA 375,Unknown,hsa-mir-375,Yes
PA164722692,MIR376A1,microRNA 376a-1,Unknown,"hsa-mir-376a, hsa-mir-376a-1",Yes
PA164722693,MIR376A2,microRNA 376a-2,Unknown,hsa-mir-376a-2,Yes
PA164722694,MIR376B,microRNA 376b,Unknown,hsa-mir-376b,Yes
PA164722695,MIR376C,microRNA 376c,Unknown,"hsa-mir-368, hsa-mir-376c",Yes
PA164722696,MIR377,microRNA 377,Unknown,hsa-mir-377,Yes
PA164722697,MIR378A,microRNA 378a,Unknown,hsa-mir-378,Yes
PA165697616,MIR378B,microRNA 378b,Unknown,hsa-mir-378b,Yes
PA165548834,MIR378C,microRNA 378c,Unknown,hsa-mir-378c,Yes
PA164722698,MIR379,microRNA 379,Unknown,hsa-mir-379,Yes
PA164722699,MIR380,microRNA 380,Unknown,hsa-mir-380,Yes
PA164722700,MIR381,microRNA 381,Unknown,hsa-mir-381,Yes
PA165479206,MIR381HG,MIR381 host gene (non-protein coding),non-protein coding RNA 225,NCRNA00225,Yes
PA164722701,MIR382,microRNA 382,Unknown,hsa-mir-382,Yes
PA164722702,MIR383,microRNA 383,Unknown,hsa-mir-383,Yes
PA164722703,MIR384,microRNA 384,Unknown,hsa-mir-384,Yes
PA164722704,MIR409,microRNA 409,Unknown,hsa-mir-409,Yes
PA164722705,MIR410,microRNA 410,Unknown,hsa-mir-410,Yes
PA164722706,MIR411,microRNA 411,Unknown,hsa-mir-411,Yes
PA164722707,MIR412,microRNA 412,Unknown,hsa-mir-412,Yes
PA164722708,MIR421,microRNA 421,Unknown,hsa-mir-421,Yes
PA164722709,MIR422A,microRNA 422a,Unknown,hsa-mir-422a,Yes
PA164722710,MIR423,microRNA 423,Unknown,hsa-mir-423,Yes
PA164722711,MIR424,microRNA 424,Unknown,hsa-mir-424,Yes
PA164722712,MIR425,microRNA 425,Unknown,hsa-mir-425,Yes
PA165751674,MIR4251,microRNA 4251,Unknown,hsa-mir-4251,Yes
PA165751675,MIR4252,microRNA 4252,Unknown,hsa-mir-4252,Yes
PA165751676,MIR4253,microRNA 4253,Unknown,hsa-mir-4253,Yes
PA165751677,MIR4254,microRNA 4254,Unknown,hsa-mir-4254,Yes
PA165751678,MIR4255,microRNA 4255,Unknown,hsa-mir-4255,Yes
PA165751679,MIR4256,microRNA 4256,Unknown,hsa-mir-4256,Yes
PA165751778,MIR4257,microRNA 4257,Unknown,hsa-mir-4257,Yes
PA165751779,MIR4258,microRNA 4258,Unknown,hsa-mir-4258,Yes
PA165751780,MIR4259,microRNA 4259,Unknown,hsa-mir-4259,Yes
PA165751803,MIR4260,microRNA 4260,Unknown,hsa-mir-4260,Yes
PA165696817,MIR4261,microRNA 4261,Unknown,hsa-mir-4261,Yes
PA165696818,MIR4262,microRNA 4262,Unknown,hsa-mir-4262,Yes
PA165696820,MIR4263,microRNA 4263,Unknown,hsa-mir-4263,Yes
PA165696821,MIR4264,microRNA 4264,Unknown,hsa-mir-4264,Yes
PA165696842,MIR4265,microRNA 4265,Unknown,hsa-mir-4265,Yes
PA165696844,MIR4266,microRNA 4266,Unknown,hsa-mir-4266,Yes
PA165696845,MIR4267,microRNA 4267,Unknown,hsa-mir-4267,Yes
PA165696875,MIR4268,microRNA 4268,Unknown,hsa-mir-4268,Yes
PA165696876,MIR4269,microRNA 4269,Unknown,hsa-mir-4269,Yes
PA165697704,MIR4270,microRNA 4270,Unknown,hsa-mir-4270,Yes
PA165697706,MIR4271,microRNA 4271,Unknown,hsa-mir-4271,Yes
PA165697707,MIR4272,microRNA 4272,Unknown,hsa-mir-4272,Yes
PA165697709,MIR4273,microRNA 4273,Unknown,hsa-mir-4273,Yes
PA165664234,MIR4274,microRNA 4274,Unknown,hsa-mir-4274,Yes
PA165664235,MIR4275,microRNA 4275,Unknown,hsa-mir-4275,Yes
PA165664236,MIR4276,microRNA 4276,Unknown,hsa-mir-4276,Yes
PA165660381,MIR4277,microRNA 4277,Unknown,hsa-mir-4277,Yes
PA165660382,MIR4278,microRNA 4278,Unknown,hsa-mir-4278,Yes
PA165660383,MIR4279,microRNA 4279,Unknown,hsa-mir-4279,Yes
PA165660384,MIR4280,microRNA 4280,Unknown,hsa-mir-4280,Yes
PA165660385,MIR4281,microRNA 4281,Unknown,hsa-mir-4281,Yes
PA165618125,MIR4282,microRNA 4282,Unknown,hsa-mir-4282,Yes
PA165618158,MIR4283-1,microRNA 4283-1,Unknown,hsa-mir-4283-1,Yes
PA165618160,MIR4283-2,microRNA 4283-2,Unknown,hsa-mir-4283-2,Yes
PA165618161,MIR4284,microRNA 4284,Unknown,hsa-mir-4284,Yes
PA165618163,MIR4285,microRNA 4285,Unknown,hsa-mir-4285,Yes
PA165585711,MIR4286,microRNA 4286,Unknown,hsa-mir-4286,Yes
PA165585714,MIR4287,microRNA 4287,Unknown,hsa-mir-4287,Yes
PA165585715,MIR4288,microRNA 4288,Unknown,hsa-mir-4288,Yes
PA165585859,MIR4289,microRNA 4289,Unknown,hsa-mir-4289,Yes
PA164722713,MIR429,microRNA 429,Unknown,hsa-mir-429,Yes
PA165585861,MIR4290,microRNA 4290,Unknown,hsa-mir-4290,Yes
PA165585862,MIR4291,microRNA 4291,Unknown,hsa-mir-4291,Yes
PA165585930,MIR4292,microRNA 4292,Unknown,hsa-mir-4292,Yes
PA165548863,MIR4293,microRNA 4293,Unknown,hsa-mir-4293,Yes
PA165548864,MIR4294,microRNA 4294,Unknown,hsa-mir-4294,Yes
PA165548865,MIR4295,microRNA 4295,Unknown,hsa-mir-4295,Yes
PA165548866,MIR4296,microRNA 4296,Unknown,hsa-mir-4296,Yes
PA165548867,MIR4297,microRNA 4297,Unknown,hsa-mir-4297,Yes
PA165543474,MIR4298,microRNA 4298,Unknown,hsa-mir-4298,Yes
PA165543475,MIR4299,microRNA 4299,Unknown,hsa-mir-4299,Yes
PA165543476,MIR4300,microRNA 4300,Unknown,hsa-mir-4300,Yes
PA165543477,MIR4301,microRNA 4301,Unknown,hsa-mir-4301,Yes
PA165512951,MIR4302,microRNA 4302,Unknown,hsa-mir-4302,Yes
PA165512978,MIR4303,microRNA 4303,Unknown,hsa-mir-4303,Yes
PA165512979,MIR4304,microRNA 4304,Unknown,hsa-mir-4304,Yes
PA165505159,MIR4305,microRNA 4305,Unknown,hsa-mir-4305,Yes
PA165505192,MIR4306,microRNA 4306,Unknown,hsa-mir-4306,Yes
PA165479181,MIR4307,microRNA 4307,Unknown,hsa-mir-4307,Yes
PA165479183,MIR4308,microRNA 4308,Unknown,hsa-mir-4308,Yes
PA165479185,MIR4309,microRNA 4309,Unknown,hsa-mir-4309,Yes
PA164722714,MIR431,microRNA 431,Unknown,hsa-mir-431,Yes
PA165479184,MIR4310,microRNA 4310,Unknown,hsa-mir-4310,Yes
PA165479186,MIR4311,microRNA 4311,Unknown,hsa-mir-4311,Yes
PA165479188,MIR4312,microRNA 4312,Unknown,hsa-mir-4312,Yes
PA165479189,MIR4313,microRNA 4313,Unknown,hsa-mir-4313,Yes
PA165432124,MIR4314,microRNA 4314,Unknown,hsa-mir-4314,Yes
PA165432139,MIR4315-1,microRNA 4315-1,Unknown,hsa-mir-4315-1,Yes
PA165432140,MIR4315-2,microRNA 4315-2,Unknown,hsa-mir-4315-2,Yes
PA165432207,MIR4316,microRNA 4316,Unknown,hsa-mir-4316,Yes
PA165429051,MIR4317,microRNA 4317,Unknown,hsa-mir-4317,Yes
PA165429052,MIR4318,microRNA 4318,Unknown,hsa-mir-4318,Yes
PA165429053,MIR4319,microRNA 4319,Unknown,hsa-mir-4319,Yes
PA164722715,MIR432,microRNA 432,Unknown,hsa-mir-432,Yes
PA165429054,MIR4320,microRNA 4320,Unknown,hsa-mir-4320,Yes
PA165393804,MIR4321,microRNA 4321,Unknown,hsa-mir-4321,Yes
PA165393805,MIR4322,microRNA 4322,Unknown,hsa-mir-4322,Yes
PA165393834,MIR4323,microRNA 4323,Unknown,hsa-mir-4323,Yes
PA165393835,MIR4324,microRNA 4324,Unknown,hsa-mir-4324,Yes
PA165392401,MIR4325,microRNA 4325,Unknown,hsa-mir-4325,Yes
PA165392402,MIR4326,microRNA 4326,Unknown,hsa-mir-4326,Yes
PA165378433,MIR4327,microRNA 4327,Unknown,hsa-mir-4327,Yes
PA165756930,MIR4328,microRNA 4328,Unknown,hsa-mir-4328,Yes
PA165756957,MIR4329,microRNA 4329,Unknown,hsa-mir-4329,Yes
PA164722716,MIR433,microRNA 433,Unknown,hsa-mir-433,Yes
PA165756958,MIR4330,microRNA 4330,Unknown,hsa-mir-4330,Yes
PA164722717,MIR448,microRNA 448,Unknown,hsa-mir-448,Yes
PA166176233,MIR4481,microRNA 4481,Unknown,hsa-mir-4481,Yes
PA164722718,MIR449A,microRNA 449a,Unknown,"hsa-mir-449, hsa-mir-449a",Yes
PA164722719,MIR449B,microRNA 449b,Unknown,hsa-mir-449b,Yes
PA165660386,MIR449C,microRNA 449c,Unknown,hsa-mir-449c,Yes
PA164722720,MIR450A1,microRNA 450a-1,Unknown,"hsa-mir-450, hsa-mir-450-1, hsa-mir-450a-1",Yes
PA164722721,MIR450A2,microRNA 450a-2,Unknown,"hsa-mir-450-2, hsa-mir-450a-2",Yes
PA164722722,MIR450B,microRNA 450b,Unknown,hsa-mir-450b,Yes
PA164722723,MIR451A,microRNA 451a,Unknown,hsa-mir-451,Yes
PA164722724,MIR452,microRNA 452,Unknown,hsa-mir-452,Yes
PA164722726,MIR454,microRNA 454,Unknown,hsa-mir-454,Yes
PA164722727,MIR455,microRNA 455,Unknown,hsa-mir-455,Yes
PA165697842,MIR466,microRNA 466,Unknown,hsa-mir-466,Yes
PA164722728,MIR483,microRNA 483,Unknown,hsa-mir-483,Yes
PA164722729,MIR484,microRNA 484,Unknown,hsa-mir-484,Yes
PA164722730,MIR485,microRNA 485,Unknown,hsa-mir-485,Yes
PA164722732,MIR487A,microRNA 487a,Unknown,"hsa-mir-487, hsa-mir-487a",Yes
PA164722733,MIR487B,microRNA 487b,Unknown,hsa-mir-487b,Yes
PA164722734,MIR488,microRNA 488,Unknown,hsa-mir-488,Yes
PA164722735,MIR489,microRNA 489,Unknown,hsa-mir-489,Yes
PA164722736,MIR490,microRNA 490,Unknown,"hsa-mir-490, miR-490",Yes
PA164722737,MIR491,microRNA 491,Unknown,hsa-mir-491,Yes
PA164722738,MIR492,microRNA 492,Unknown,hsa-mir-492,Yes
PA164722739,MIR493,microRNA 493,Unknown,hsa-mir-493,Yes
PA164722740,MIR494,microRNA 494,Unknown,hsa-mir-494,Yes
PA164722741,MIR495,microRNA 495,Unknown,hsa-mir-495,Yes
PA164722742,MIR496,microRNA 496,Unknown,hsa-mir-496,Yes
PA164722743,MIR497,microRNA 497,Unknown,hsa-mir-497,Yes
PA164722744,MIR498,microRNA 498,Unknown,hsa-mir-498,Yes
PA164722745,MIR499A,microRNA 499a,Unknown,hsa-mir-499,Yes
PA164722746,MIR500A,microRNA 500a,Unknown,hsa-mir-500,Yes
PA165756959,MIR500B,microRNA 500b,Unknown,hsa-mir-500b,Yes
PA164722747,MIR501,microRNA 501,Unknown,hsa-mir-501,Yes
PA164722748,MIR502,microRNA 502,Unknown,hsa-mir-502,Yes
PA164722749,MIR503,microRNA 503,Unknown,hsa-mir-503,Yes
PA164722750,MIR504,microRNA 504,Unknown,hsa-mir-504,Yes
PA164722751,MIR505,microRNA 505,Unknown,hsa-mir-505,Yes
PA164722752,MIR506,microRNA 506,Unknown,hsa-mir-506,Yes
PA164722753,MIR507,microRNA 507,Unknown,hsa-mir-507,Yes
PA164722754,MIR508,microRNA 508,Unknown,hsa-mir-508,Yes
PA164722755,MIR509-1,microRNA 509-1,Unknown,"hsa-mir-509, hsa-mir-509-1",Yes
PA164722756,MIR509-2,microRNA 509-2,Unknown,hsa-mir-509-2,Yes
PA164722757,MIR509-3,microRNA 509-3,Unknown,hsa-mir-509-3,Yes
PA164722758,MIR510,microRNA 510,Unknown,hsa-mir-510,Yes
PA164722761,MIR512-1,microRNA 512-1,Unknown,hsa-mir-512-1,Yes
PA164722762,MIR512-2,microRNA 512-2,Unknown,hsa-mir-512-2,Yes
PA164722763,MIR513A1,microRNA 513a-1,Unknown,"hsa-mir-513-1, hsa-mir-513a-1",Yes
PA164722764,MIR513A2,microRNA 513a-2,Unknown,hsa-mir-513-2,Yes
PA164722765,MIR513B,microRNA 513b,Unknown,hsa-mir-513b,Yes
PA164722766,MIR513C,microRNA 513c,Unknown,hsa-mir-513c,Yes
PA164722767,MIR514A1,microRNA 514a-1,Unknown,hsa-mir-514-1,Yes
PA164722768,MIR514A2,microRNA 514a-2,Unknown,hsa-mir-514-2,Yes
PA164722769,MIR514A3,microRNA 514a-3,Unknown,hsa-mir-514-3,Yes
PA165756988,MIR514B,microRNA 514b,Unknown,hsa-mir-514b,Yes
PA164722770,MIR515-1,microRNA 515-1,Unknown,hsa-mir-515-1,Yes
PA164722771,MIR515-2,microRNA 515-2,Unknown,hsa-mir-515-2,Yes
PA164722772,MIR516A1,microRNA 516a-1,Unknown,"hsa-mir-516-1, hsa-mir-516a-1",Yes
PA164722773,MIR516A2,microRNA 516a-2,Unknown,"hsa-mir-516-2, hsa-mir-516a-2",Yes
PA164722774,MIR516B1,microRNA 516b-1,Unknown,"hsa-mir-516-4, hsa-mir-516b-1",Yes
PA164722775,MIR516B2,microRNA 516b-2,Unknown,"hsa-mir-516-3, hsa-mir-516b-2",Yes
PA164722776,MIR517A,microRNA 517a,Unknown,hsa-mir-517a,Yes
PA164722777,MIR517B,microRNA 517b,Unknown,hsa-mir-517b,Yes
PA164722778,MIR517C,microRNA 517c,Unknown,hsa-mir-517c,Yes
PA166160518,MIR5189,microRNA 5189,Unknown,hsa-mir-5189,Yes
PA164722779,MIR518A1,microRNA 518a-1,Unknown,hsa-mir-518a-1,Yes
PA164722780,MIR518A2,microRNA 518a-2,Unknown,hsa-mir-518a-2,Yes
PA164722781,MIR518B,microRNA 518b,Unknown,hsa-mir-518b,Yes
PA164722782,MIR518C,microRNA 518c,Unknown,hsa-mir-518c,Yes
PA164722783,MIR518D,microRNA 518d,Unknown,hsa-mir-518d,Yes
PA164722784,MIR518E,microRNA 518e,Unknown,hsa-mir-518e,Yes
PA164722785,MIR518F,microRNA 518f,Unknown,hsa-mir-518f,Yes
PA164722786,MIR519A1,microRNA 519a-1,Unknown,hsa-mir-519a-1,Yes
PA164722787,MIR519A2,microRNA 519a-2,Unknown,hsa-mir-519a-2,Yes
PA164722788,MIR519B,microRNA 519b,Unknown,hsa-mir-519b,Yes
PA164722789,MIR519C,microRNA 519c,Unknown,hsa-mir-519c,Yes
PA164722790,MIR519D,microRNA 519d,Unknown,hsa-mir-519d,Yes
PA164722791,MIR519E,microRNA 519e,Unknown,hsa-mir-519e,Yes
PA164722792,MIR520A,microRNA 520a,Unknown,hsa-mir-520a,Yes
PA164722793,MIR520B,microRNA 520b,Unknown,hsa-mir-520b,Yes
PA164722794,MIR520C,microRNA 520c,Unknown,hsa-mir-520c,Yes
PA164722795,MIR520D,microRNA 520d,Unknown,hsa-mir-520d,Yes
PA164722796,MIR520E,microRNA 520e,Unknown,hsa-mir-520e,Yes
PA164722797,MIR520F,microRNA 520f,Unknown,hsa-mir-520f,Yes
PA164722798,MIR520G,microRNA 520g,Unknown,hsa-mir-520g,Yes
PA164722799,MIR520H,microRNA 520h,Unknown,hsa-mir-520h,Yes
PA164722800,MIR521-1,microRNA 521-1,Unknown,hsa-mir-521-1,Yes
PA164722801,MIR521-2,microRNA 521-2,Unknown,hsa-mir-521-2,Yes
PA164722802,MIR522,microRNA 522,Unknown,hsa-mir-522,Yes
PA164722803,MIR523,microRNA 523,Unknown,hsa-mir-523,Yes
PA164722804,MIR524,microRNA 524,Unknown,hsa-mir-524,Yes
PA164722805,MIR525,microRNA 525,Unknown,hsa-mir-525,Yes
PA164722806,MIR526A1,microRNA 526a-1,Unknown,hsa-mir-526a-1,Yes
PA164722807,MIR526A2,microRNA 526a-2,Unknown,hsa-mir-526a-2,Yes
PA164722808,MIR526B,microRNA 526b,Unknown,hsa-mir-526b,Yes
PA164722809,MIR527,microRNA 527,Unknown,hsa-mir-527,Yes
PA164722810,MIR532,microRNA 532,Unknown,hsa-mir-532,Yes
PA164722811,MIR539,microRNA 539,Unknown,hsa-mir-539,Yes
PA164722812,MIR541,microRNA 541,Unknown,hsa-mir-541,Yes
PA164722813,MIR542,microRNA 542,Unknown,hsa-mir-542,Yes
PA164722814,MIR543,microRNA 543,Unknown,hsa-mir-543,Yes
PA164722815,MIR544A,microRNA 544a,Unknown,hsa-mir-544,Yes
PA165697843,MIR544B,microRNA 544b,Unknown,hsa-mir-544b,Yes
PA164722816,MIR545,microRNA 545,Unknown,hsa-mir-545,Yes
PA164722817,MIR548A1,microRNA 548a-1,Unknown,hsa-mir-548a-1,Yes
PA164722818,MIR548A2,microRNA 548a-2,Unknown,hsa-mir-548a-2,Yes
PA164722819,MIR548A3,microRNA 548a-3,Unknown,hsa-mir-548a-3,Yes
PA164722820,MIR548B,microRNA 548b,Unknown,hsa-mir-548b,Yes
PA164722821,MIR548C,microRNA 548c,Unknown,hsa-mir-548c,Yes
PA164722822,MIR548D1,microRNA 548d-1,Unknown,hsa-mir-548d-1,Yes
PA164722823,MIR548D2,microRNA 548d-2,Unknown,hsa-mir-548d-2,Yes
PA164722824,MIR548E,microRNA 548e,Unknown,hsa-mir-548e,Yes
PA164722825,MIR548F1,microRNA 548f-1,Unknown,hsa-mir-548f-1,Yes
PA164722826,MIR548F2,microRNA 548f-2,Unknown,hsa-mir-548f-2,Yes
PA164722827,MIR548F3,microRNA 548f-3,Unknown,hsa-mir-548f-3,Yes
PA164722828,MIR548F4,microRNA 548f-4,Unknown,hsa-mir-548f-4,Yes
PA164722829,MIR548F5,microRNA 548f-5,Unknown,hsa-mir-548f-5,Yes
PA164722830,MIR548G,microRNA 548g,Unknown,hsa-mir-548g,Yes
PA164722831,MIR548H1,microRNA 548h-1,Unknown,hsa-mir-548h-1,Yes
PA164722832,MIR548H2,microRNA 548h-2,Unknown,hsa-mir-548h-2,Yes
PA164722833,MIR548H3,microRNA 548h-3,Unknown,hsa-mir-548h-3,Yes
PA164722834,MIR548H4,microRNA 548h-4,Unknown,hsa-mir-548h-4,Yes
PA164722835,MIR548I1,microRNA 548i-1,Unknown,hsa-mir-548i-1,Yes
PA164722836,MIR548I2,microRNA 548i-2,Unknown,hsa-mir-548i-2,Yes
PA164722837,MIR548I3,microRNA 548i-3,Unknown,hsa-mir-548i-3,Yes
PA164722838,MIR548I4,microRNA 548i-4,Unknown,hsa-mir-548i-4,Yes
PA164722839,MIR548J,microRNA 548j,Unknown,hsa-mir-548j,Yes
PA164722840,MIR548K,microRNA 548k,Unknown,hsa-mir-548k,Yes
PA164722841,MIR548L,microRNA 548l,Unknown,hsa-mir-548l,Yes
