gene_id,gene_symbol,gene_name,alternate_names,alternate_symbols,vip_status
PA164718217,CT47A10,cancer/testis antigen family 47 member A10,"""cancer/testis CT47 family, member 10"", ""cancer/testis antigen family 47, member A10""",CT47.10,Yes
PA164718228,CT47A11,cancer/testis antigen family 47 member A11,"""cancer/testis CT47 family, member 11"", ""cancer/testis antigen family 47, member A11""",CT47.11,Yes
PA166049011,CT47A12,cancer/testis antigen family 47 member A12,"""cancer/testis CT47 family, member 12"", ""cancer/testis antigen family 47, member A12""",CT47.12,Yes
PA164718239,CT47A2,cancer/testis antigen family 47 member A2,"""cancer/testis CT47 family, member 2"", ""cancer/testis antigen family 47, member A2""",CT47.2,Yes
PA164718250,CT47A3,cancer/testis antigen family 47 member A3,"""cancer/testis CT47 family, member 3"", ""cancer/testis antigen family 47, member A3""",CT47.3,Yes
PA164718261,CT47A4,cancer/testis antigen family 47 member A4,"""cancer/testis CT47 family, member 4"", ""cancer/testis antigen family 47, member A4""",CT47.4,Yes
PA164718272,CT47A5,cancer/testis antigen family 47 member A5,"""cancer/testis CT47 family, member 5"", ""cancer/testis antigen family 47, member A5""",CT47.5,Yes
PA164718283,CT47A6,cancer/testis antigen family 47 member A6,"""cancer/testis CT47 family, member 6"", ""cancer/testis antigen family 47, member A6""",CT47.6,Yes
PA164718294,CT47A7,cancer/testis antigen family 47 member A7,"""cancer/testis CT47 family, member 7"", ""cancer/testis antigen family 47, member A7""",CT47.7,Yes
PA164718305,CT47A8,cancer/testis antigen family 47 member A8,"""cancer/testis CT47 family, member 8"", ""cancer/testis antigen family 47, member A8""",CT47.8,Yes
PA164718316,CT47A9,cancer/testis antigen family 47 member A9,"""cancer/testis CT47 family, member 9"", ""cancer/testis antigen family 47, member A9""",CT47.9,Yes
PA164718327,CT47B1,cancer/testis antigen family 47 member B1,"""cancer/testis CT47 family, member 13"", ""cancer/testis antigen family 47, member B1""",CT47.13,Yes
PA166352434,CT47C1,cancer/testis antigen family 47 member C1,Unknown,Unknown,Yes
PA134977669,CT55,cancer/testis antigen 55,"cancer/testis antigen 55, chromosome X open reading frame 48","CT55, CXorf48, FLJ20527",Yes
PA165478559,CT62,cancer/testis antigen 62,Unknown,Unknown,Yes
PA162383081,CT83,cancer/testis antigen 83,"Kita-kyushu lung cancer antigen 1, cancer/testis antigen 83, chromosome X open reading frame 61","CT83, CXorf61, FLJ20611, FLJ22913, KK-LC-1",Yes
PA134979749,CTAG1A,cancer/testis antigen 1A,Unknown,"ESO1, LAGE2A",Yes
PA26993,CTAG1B,cancer/testis antigen 1B,Unknown,"CT6.1, CTAG, CTAG1, ESO1, LAGE2A, LAGE2B, NY-ESO-1",Yes
PA26994,CTAG2,cancer/testis antigen 2,"""CTL-recognized antigen on melanoma"", ""LAGE-1a protein"", ""cancer/testis antigen family 6, member 2a"", ""cancer/testis antigen family 6, member 2b""","CAMEL, CT6.2a, CT6.2b, ESO2, LAGE-1, LAGE-1a, LAGE-1b, LAGE1, MGC138724, MGC3803",Yes
PA134933936,CTAGE1,cutaneous T cell lymphoma-associated antigen 1,"""cancer/testis antigen family 21, member 1"", ""cancer/testis antigen family 21, member 2"", ""cutaneous T-cell lymphoma-associated antigen 1"", ""cutaneous T-cell lymphoma-associated antigen 2""","CT21.1, CT21.2, CTAGE, cTAGE-1, cTAGE-2",Yes
PA166049030,CTAGE15,CTAGE family member 15,"CTAGE family, member 15",CTAGE15P,Yes
PA134918814,CTAGE3P,"CTAGE family, member 3, pseudogene",cutaneous T-cell lymphoma-associated antigen 3,cTAGE-3,Yes
PA134946406,CTAGE4,CTAGE family member 4,"""CTAGE family, member 4"", ""cutaneous T-cell lymphoma-associated antigen 4""","FLJ43692, cTAGE-4",Yes
PA165617921,CTAGE6,CTAGE family member 6,"CTAGE family, member 6","CTAGE6P, MGC41943",Yes
PA134902516,CTAGE7P,"CTAGE family, member 7, pseudogene",meningioma expressed antigen 6 (coiled-coil proline-rich) pseudogene,"MGC33437, bA500G10.2, rcCTAGE5",Yes
PA166123683,CTAGE8,CTAGE family member 8,"CTAGE family, member 8",Unknown,Yes
PA165617886,CTAGE9,CTAGE family member 9,"CTAGE family, member 9",Unknown,Yes
PA26995,CTBP1,C-terminal binding protein 1,brefeldin A-ribosylated substrate,BARS,Yes
PA26996,CTBP2,C-terminal binding protein 2,Unknown,ribeye,Yes
PA26997,CTBS,chitobiase,"""chitobiase, di-N-acetyl-"", ""di-N-acetylchitobiase""",CTB,Yes
PA142672251,CTC1,CST telomere replication complex component 1,"CTS telomere maintenance complex component 1, alpha accessory factor 132, conserved telomere capping protein 1, conserved telomere maintenance component 1","AAF132, C17orf68, FLJ22170",Yes
PA26998,CTCF,CCCTC-binding factor,"11 zinc finger transcriptional repressor, CCCTC-binding factor (zinc finger protein)","CFAP108, FAP108",Yes
PA26999,CTCFL,CCCTC-binding factor like,"CCCTC-binding factor (zinc finger protein)-like, brother of the regulator of imprinted sites, cancer/testis antigen 27, transcriptional repressor CTCFL","BORIS, CT27, dJ579F20.2",Yes
PA134937999,CTDNEP1,CTD nuclear envelope phosphatase 1,C-terminal domain nuclear envelope phosphatase 1,"DULLARD, HSA011916, NET56",Yes
PA27001,CTDP1,CTD phosphatase subunit 1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",FCP1,Yes
PA134938848,CTDSP1,CTD small phosphatase 1,"""CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"", ""nuclear LIM interactor-interacting factor"", ""small CTD phosphatase 1""","NLIIF, SCP1",Yes
PA128394568,CTDSP2,CTD small phosphatase 2,"""CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"", ""NLI-interacting factor 2"", ""conserved gene amplified in osteosarcoma"", ""nuclear LIM interactor-interacting factor 2"", ""small CTD phosphatase 2""","OS4, PSR2, SCP2",Yes
PA128394571,CTDSPL,CTD small phosphatase like,"""CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"", ""HYA22 protein"", ""RB protein serine phosphatase from chromosome 3"", ""small CTD phosphatase 3""","C3orf8, HYA22, PSR1, RBSP3, SCP3",Yes
PA142672063,CTDSPL2,CTD small phosphatase like 2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2","FLJ10523, HSPC129",Yes
PA27002,CTF1,cardiotrophin 1,Unknown,"CT-1, CT1",Yes
PA27004,CTH,cystathionine gamma-lyase,cystathionase (cystathionine gamma-lyase),CSE,Yes
PA38701,CTHRC1,collagen triple helix repeat containing 1,Unknown,Unknown,Yes
PA134974369,CTIF,cap binding complex dependent translation initiation factor,CBP80/20-dependent translation initiation factor,KIAA0427,Yes
PA27006,CTLA4,cytotoxic T-lymphocyte associated protein 4,"celiac disease, cytotoxic T-lymphocyte-associated protein 4, gluten-sensitive enteropathy","CD, CD152, CD28, CELIAC3, CTLA-4, GSE, ICOS, IDDM12",Yes
PA27008,CTNNA1,catenin alpha 1,"""alpha-E-catenin"", ""catenin (cadherin-associated protein), alpha 1, 102kDa""",CAP102,Yes
PA27012,CTNNA1P1,"catenin (cadherin-associated protein), alpha 1 pseudogene 1",Unknown,Unknown,Yes
PA27009,CTNNA2,catenin alpha 2,"""alpha-N-catenin"", ""cadherin-associated protein, related"", ""cancer/testis antigen 114"", ""catenin (cadherin-associated protein), alpha 2""","CAP-R, CT114",Yes
PA27010,CTNNA3,catenin alpha 3,"""alpha-T-catenin"", ""catenin (cadherin-associated protein), alpha 3""","MGC26194, VR22",Yes
PA27011,CTNNAL1,catenin alpha like 1,"""alpha-catulin"", ""alpha2-catulin"", ""catenin (cadherin-associated protein), alpha-like 1""","CLLP, alpha-CATU",Yes
PA27013,CTNNB1,catenin beta 1,"catenin (cadherin-associated protein), beta 1, 88kDa","CTNNB, armadillo, beta-catenin",Yes
PA27014,CTNNBIP1,catenin beta interacting protein 1,"""beta-catenin-interacting protein ICAT"", ""catenin, beta interacting protein 1"", ""inhibitor of beta-catenin and Tcf-4""","ICAT, MGC15093",Yes
PA27015,CTNNBL1,catenin beta like 1,"""catenin, beta like 1"", ""nuclear associated protein""","C20orf33, FLJ21108, NAP, NYD-SP19, P14, P14L",Yes
PA27016,CTNND1,catenin delta 1,"catenin (cadherin-associated protein), delta 1","CTNND, KIAA0384, p120, p120cas, p120ctn",Yes
PA27017,CTNND2,catenin delta 2,"""catenin (cadherin-associated protein), delta 2"", ""neural plakophilin-related arm-repeat protein"", ""neurojungin""","GT24, NPRAP",Yes
PA27019,CTNS,"cystinosin, lysosomal cystine transporter",Unknown,"CTNS-LSB, PQLC4, SLC66A4",Yes
PA27020,CTPS1,CTP synthase 1,Unknown,"CTPS, GATD5, GATD5A",Yes
PA27021,CTPS2,CTP synthase 2,Unknown,GATD5B,Yes
PA134896774,CTR9,"CTR9 homolog, Paf1/RNA polymerase II complex component","""CTR9 homolog, Paf1/RNA polymerase II complex component"", ""CTR9, Paf1/RNA polymerase II complex component"", ""Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)""","KIAA0155, SH2BP1, TSBP, p150TSP",Yes
PA27022,CTRB1,chymotrypsinogen B1,Unknown,CTRB,Yes
PA27023,CTRB2,chymotrypsinogen B2,Unknown,Unknown,Yes
PA27024,CTRC,chymotrypsin C,"caldecrin, chymotrypsin C (caldecrin), chymotrypsinogen C, elastase 4","CLCR, ELA4",Yes
PA27025,CTRL,chymotrypsin like,"Chymotrypsin-like protease, chymotrypsin-like",CTRL1,Yes
PA33572,CTSA,cathepsin A,"carboxypeptidase C, carboxypeptidase Y-like kininase, carboxypeptidase-L, deamidase, lysosomal carboxypeptidase A, lysosomal protective protein, urinary kininase","GSL, PPGB",Yes
