drug_id,drug_name,generic_names,trade_names,drug_type
PA164744009,trimeprazine,"""(+-)-Alimemazine"", ""(+-)-Trimeprazine"", ""Alimemazine"", ""Alimemazine S,S-dioxide"", ""Bayer 1219"", ""Methylpromazine"", ""Oxomemazin"", ""Oxomemazina [INN-Spanish]"", ""Oxomemazine"", ""Oxomemazine [DCF:INN]"", ""Oxomemazinum [INN-Latin]"", ""Oxymemazine"", ""Trimeperazine"", ""Trimeprazine 5,5-dioxide"", ""Trimeprazine Tartrat"", ""Trimeprazine Tartrate"", ""Trimeprazine hemi-(+)tartrate""","Alimezine, Dosegran, Doxergan, Dysedon, Imakol, Levoprome, Panectyl, Repeltin, Repetin, Temaril, Teralen, Theralene, Vallergan",Drug
PA164744924,trimethadione,"Trimetadione, Trimethadion, Trimethdione","Absentol, Absetil, Convenixa, Convexina, Edion, Epidione, Epidone, Epixal, Etydion, Mino-Aleviatin, Minoaleuiatin, Minoaleviatin, Neo-Absentol, Petidion, Petidon, Petilep, Petimalin, Pitmal, Ptimal, Tioxanona, Tredione, Tricione, Tridilona, Tridion, Tridione, Tridone, Trilidona, Trimedal, Trimedone, Trimethin, Trimetin, Trioxanona, Triozanona, Tromedone, Troxidone",Drug
PA451784,trimethaphan,"Thimethaphan, Trimetaphan, Trimetaphanum",Arfonad,Drug
PA164764516,trimethobenzamide,"Trimethobenzamide HCL, Trimethobenzamide hydrochloride, Trimethobenzamidum [INN-Latin], Trimetobenzamida [INN-Spanish]","Ametik hydrochloride, Benzacot, Nauseton, Stemetic, Tebamide, Tigan, Tribenzagan, Trimazide",Drug
PA451788,trimethoprim,Unknown,"Abacin, Abaprim, Alprim, Apo-Sulfatrim, Bactin, Bactramin, Bactrim, Bactrim DS, Bactrim Pediatric, Baktar, Chemotrim, Comox, Cotrim, Cotrim D.S., Drylin, Eusaprim, Fectrim, Gantaprim, Gantrim, Idotrim, Imexim, Instalac, Ipral, Kepinol, Laratrim, Lidaprim, Linaris, Methoprim, Microtrim, Monoprim, Monotrim, Monotrimin, Nopil, Oraprim, Priloprim, Primosept, Primsol, Proloprim, Septra, Septra DS, Septra Grape, Septrin, Sigaprim, Sulfamethoprim, Sulfamethoprim-DS, Sulfamethoxazole & Trimethoprim, Sulfatrim, Sulfatrim Pediatric, Sulfatrim-DS, Sulfatrim-SS, Sulfotrim, Sulmeprim, Sulmeprim Pediatric, Sulprim, Sumetrolim, Supracombin, Suprim, Syraprim, Teleprim, Thiocuran, Tiempe, Tmp-Ratiopharm, Trigonyl, Trimanyl, Trimesulf, Trimeth/Sulfa, Trimethioprim, Trimethopriom, Trimetoprim, Trimexazole, Trimogal, Trimopan, Trimpex, Trimpex 200, Triprim, Unitrim, Uretrim, Uro-Septra, Uroplus, Uroplus DS, Uroplus SS, Wellcoprim",Drug
PA164713363,Trimethoprim and derivatives,Unknown,Unknown,Drug Class
PA451790,trimetrexate,"TMQ, TMX, Trimetrexato [INN-Spanish], Trimetrexatum [INN-Latin]",Neutrexin,Drug
PA451791,trimipramine,"Trimeprimina [Italian], Trimeprimine, Trimipramina [INN-Spanish], Trimipraminum [INN-Latin], beta-Methylimipramine","Sapilent, Surmontil, Surmontyl, Temaril",Drug
PA164747186,trioxsalen,"trimethylpsoralen, trioxysalen, trisoralen",Unknown,Drug
PA166220603,triparanol,2-(4-chlorophenyl)-1-[4-[2-(diethylamino)ethoxy]phenyl]-1-(4-methylphenyl)ethanol,Unknown,Drug
